# This table summarizes useful information about galaxies in the Parent Disc Sample of
# Erwin (2018).
#
# Except for the following columns, values are from Herrera-Endoqui et al. (2015: A&A, 582, A86)
#    dist, logmstar -- distance in Mpc and log of galaxy stellar mass (in solar masses), from 
#       Munoz-Mateos et al. (2015: ApJS, 219, 3)
#    bar_strength -- Buta et al. (2015, ApJS, 217, 32)
#    A2, A4 -- Diaz-Garcia et al. (2016a, 587, A160)
#    Re, Re_kpc, h_kpc -- Salo et al. (2015, ApJS, 219, 4)
#    R25, etc.; t_s4g -- main S4G table
#    B_tc, BmV_tc, m21c, W_gas, t_leda -- HyperLeda (as of 29 March 2017)
#        NGC4314: m21c is from HI flux in Springob+2005 (ApJS)
#    gmr_tc -- total g-r color, based on BmV_tc as described in paper
#    gmr_sga_tc -- total g-r color from Siena Galaxy Atlas
#    weight_BmVtc -- B_t-based weights for galaxy colors (see paper)
#    w25, w30, w40 -- V/V_max weights assuming D_max = 25, 30, or 40 Mpc
#    M_HI, logfgas -- based on dist + m21c, as described in paper
#    inclination -- Munoz-Mateos et al. (2015)
#    sma_dp_kpc2 -- deprojected bar semi-major axis (in kpc) using bar size and
#       PA from Herrera-Endoqui et al. and galaxy inclination and PA from Munoz-Mateos et al.
#
# "No data" values:
# For the following columns "no data" is indicated by the value -99:
#    BmV_tc, gmr_tc, gmr_sga_tc, m21c, M_HI, logfgas
# For the following columns "no data" is indicated by the value 0:
#    sma, sma_kpc, sma_ell_kpc, sma_dp_kpc, sma_dp_kpc2, sma_ell_dp_kpc2, ell_dp
# For the following columns "no data" is indicated by the value -999:
#    A2, A4, ell_dp
#
# name logmstar dist B_tc BmV_tc weight_BmVtc gmr_tc gmr_sga_tc m21c M_HI logfgas w25 w30 w40 sma sma_kpc sma_ell_kpc sma_dp_kpc sma_dp_kpc2 sma_ell_dp_kpc2 bar_strength A2 A4 ell_dp inclination R25 R25_5 R25_kpc R25_5_kpc R25c_kpc Re Re_kpc h_kpc W_gas V_rot t_s4g t_leda
ESO237-052 9.506000084995163 36.46 13.902 -99.0 3.6605524538913397 -99.0 0.36563867187500065 15.225 2321713436.3125844 -0.14019147024218448 1.0 1.0 1.0 14.7 2.598414660751945 -132.43960439240783 -176.5861391898771 3.1266761868430115 0.0 2 -999.999 -999.999 -999.0 63.26701068694164 34.524011668333074 25.0 6.102564494351557 4.419072552299227 6.046615846771901 25.88 4.574623906140159 2.5406131917678714 77.47 86.74158851488498 7.5 7.3 
ESO238-018 9.517000479027432 41.042 14.01 -99.0 3.355960876075562 -99.0 0.3530637817382818 15.67 1952685575.727588 -0.22636816083934974 1.0 1.0 1.0 6.9 1.372941604246964 1.0147829248781908 1.452532421884469 1.456949477590371 1.0768757008276655 2 -999.999 -999.999 0.69 25.034111980900146 31.341606576623995 16.35 6.236260233766282 3.253274670933023 6.279487924580425 15.7 3.123939592272077 2.0019080406273484 19.07 45.06593346987659 5.5 5.5 
ESO245-005 8.033998413190169 4.193 12.684 0.425 1.728883658085645 0.29600000000000004 0.2580358581542974 13.07 223472975.16126603 0.3152265977320301 5.6395628214206805 9.745164555414936 23.099649316539107 50.3 1.022509393256248 -15.230917751436255 -20.30789033524834 1.0756133486731723 0.0 2 -999.999 -999.999 -999.0 43.52852264905532 100.48963174734828 46.75 2.0427751965511907 0.9503442173902503 2.0664294185029104 103.0 2.093806511041621 1.6922225535112596 25.58 37.14160140565785 9.9 9.9 
ESO245-007 5.937000040782167 0.415 13.523 -99.0 3.048664153921225 -99.0 -99.0 -99.0 1.4732331396743211e+51 -99.0 16393.652910359455 28328.232229101137 67148.40232083232 0.0 0.0 0.0 0.0 0.0 0.0 3 -999.999 -999.999 -999.0 22.662882358749407 71.14121116984965 47.55 0.14313433028137396 0.09566940586139187 0.14445873593313005 88.98 0.17902552541633332 0.14953198555256583 -99.0 -99.0 9.5 9.5 
ESO249-008 8.723999642593006 17.389 13.893 -99.0 3.6799878294068282 -99.0 0.46727024078369084 16.116 232447297.3707715 -0.3576751415201631 1.5848793380488528 2.7386714961484175 6.491665768648101 0.0 0.0 0.0 0.0 0.0 0.0 3 -999.999 -999.999 -999.0 48.60938763962968 36.99314499686727 19.9 3.118676451896952 1.6776530191743624 3.1043474351848643 11.98 1.00996397837733 0.903656417715075 23.8 31.724052468131767 1.3 2.4 
ESO249-026 7.770999941006221 12.931 14.489 -99.0 2.9584912108498607 -99.0 0.11992055511474753 14.222 735596255.001219 1.0956395685260434 3.9348093154791157 6.799350497147912 16.116978956202455 0.0 0.0 0.0 0.0 0.0 0.0 3 -999.999 -999.999 -999.0 59.133507744922696 36.73848597795147 18.2 2.3031797065953525 1.1409798075291493 2.2352588616083313 31.67 1.9854302474971517 0.913598831600126 43.05 50.15348431723427 7.2 7.2 
ESO249-036 8.520999422213944 9.4 14.969 -99.0 4.61092414009809 -99.0 0.5864941253662099 14.54 290022033.5150299 -0.05856842889948233 11.599425108219819 20.043806587003846 47.51124524326838 0.0 0.0 0.0 0.0 0.0 0.0 3 -999.999 -999.999 -999.0 48.60938763962968 35.24692664818589 30.75 1.6062885632218136 1.4013526288997162 1.6062885632218136 0.0 0.0 0.0 29.9 39.8550070923168 10.0 10.0 
ESO285-048 9.831000305313621 33.142 12.606 -99.0 1.6980710407714397 -99.0 0.4960618362426743 14.833 2752534125.981657 -0.3912675932434375 1.0 1.0 1.0 10.2 1.6389033524834555 2.072730710493782 2.1209337502727075 2.1335465148679162 2.6983088276270704 1 0.322 0.09 0.59 67.49694007522855 73.30291658081914 39.85 11.778078012854861 6.402970450633894 11.696998294119908 32.44 5.212355368094442 3.2937137080939567 107.66 116.53292232000088 5.9 5.9 
ESO287-037 9.693000186729265 36.153 13.465 -99.0 2.9054284819362626 -99.0 0.464640060424804 14.8 3376478342.9314837 -0.1645362182722092 1.0 1.0 1.0 18.7 3.277633626645334 2.7737193658643005 3.5405454148789173 3.551323640669602 3.0053313697110404 2 0.291 -999.999 0.43 26.817203920429357 48.20823759038632 27.75 8.449675968318601 4.863868082321285 8.686404609319114 32.3 5.661367173296486 3.276406704966911 36.41 80.70566449556753 8.5 8.5 
ESO288-013 9.505000659582432 35.611 14.403 -99.0 2.920112620872389 -99.0 0.43344000244140624 16.55 653647530.6424683 -0.6896570347465456 1.0 1.0 1.0 15.9 2.7450847211111915 2.2271442076939856 2.796878772452912 2.802593059237197 2.2738019159848957 2 -999.999 -999.999 0.62 21.22066475260944 33.89387744018393 20.35 5.8516707610229055 3.5133631493467137 5.892232604968104 21.02 3.629036530676556 2.5410161588248124 18.46 50.999996960024234 9.0 9.0 
ESO289-026 9.278000937595156 26.457 13.399 -99.0 2.7532478405965826 -99.0 0.47197483062744183 13.999 3781433616.942416 0.29965554316535936 1.0 1.0 1.0 26.9 3.45038324485492 3.241949312777253 4.925454148789179 5.102244963514141 4.794023845829737 2 0.777 0.398 0.78 62.1144331639063 58.36080244867988 35.0 7.4857670975915624 4.489346229365137 7.298545350517534 91.17 11.69410559232056 2.3578046396625703 66.77 75.54163164772123 7.9 7.9 
ESO298-023 8.645999634615114 19.083 14.637 -99.0 3.113601354064064 -99.0 0.4031853790283204 15.737 396888565.3151604 -0.04733104790766163 2.0553229664383075 3.5515980860053955 8.418602870531307 10.6 0.9806792233292121 -69.31829321503889 -92.42439095338518 1.0515484425371788 0.0 2 0.33 -999.999 -999.0 23.276827203548464 30.911583613248474 16.65 2.8598441329921243 1.5404065158897529 2.8863059449517747 19.46 1.8003790269798556 0.860869827648898 35.26 89.22651516093379 6.0 6.0 
ESO300-014 9.029002067267735 11.524 12.149 0.533 1.5272110534074668 0.41696000000000005 0.5925685958862292 13.416 1227387752.4258695 0.059979718064079535 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 3 -999.999 -999.999 -999.0 66.7800306361451 133.08259317942975 76.15 7.435307996023311 4.254491067316316 7.232675211058345 92.75 5.181931011077982 2.8351727341041864 56.43 61.40383448095291 8.9 8.9 
ESO302-014 7.828000195997905 9.3 14.272 -99.0 2.904252847985422 -99.0 0.3127197189331046 14.895 204711001.61597613 0.4831409872250294 7.804968962183077 13.486986366652356 31.969152869101883 0.0 0.0 0.0 0.0 0.0 0.0 3 -999.999 -999.999 -999.0 61.46388222325203 40.65568237053107 20.9 1.8330683637356746 0.9423314668024143 1.795472104848604 29.88 1.3472183841175187 0.9974285506508618 28.73 32.702870647388195 10.0 10.0 
ESO305-009 8.784000713227794 13.2 12.673 -99.0 1.7232090200116188 -99.0 0.3796028594970693 13.156 2046082535.944251 0.5269224352989692 1.0 1.0 1.1206195128292815 41.4 2.649407315831575 -47.94851283543014 -63.931350447240185 3.2990316929867007 0.0 2 -999.999 -999.999 -999.0 42.8185041258267 87.52281042003503 46.6 5.601052517608233 2.982183113955348 5.652878418463187 69.61 4.454716020653042 2.7240258890262523 47.73 70.22440576140586 8.0 8.0 
ESO340-017 9.781999377009551 36.514 12.533 -99.0 1.6831238450936572 -99.0 -99.0 13.826 8446836901.785814 0.14469473155236834 1.0 1.0 1.0 29.7 5.257633626645335 5.549724383681187 5.894922551087194 5.880305449237906 6.206989085306679 1 0.621 -999.999 0.48 61.02912797594761 51.182471670093705 29.9 9.060561755808314 5.293038566892105 9.292982617764634 24.29 4.299929992970208 2.956843584708991 96.25 110.0168406012571 8.0 8.0 
ESO340-042 9.428000279328378 36.486 13.613 -99.0 3.286011699362661 -99.0 0.4430324859619148 15.467 1860491943.3894866 -0.15837248562068496 1.0 1.0 1.0 9.6 1.698133953894262 0.9154003345211256 2.2995563958984797 2.3407220050393858 1.2617954558415438 1 0.53 0.191 0.73 47.871444741759426 48.09736172070126 27.15 8.5078919823601 4.802535088357209 8.626248549532711 112.05 19.82040724310959 5.028952948876444 62.76 84.62308257250758 7.8 7.8 
ESO341-032 9.76299947321556 38.361 13.514 -99.0 3.025889485186595 -99.0 0.40298689270019494 14.953 3301833168.4591823 -0.24424434730755884 1.0 1.0 1.0 11.0 2.04577121663879 -139.34491673332846 -185.7932223111046 2.05881150668349 0.0 2 -999.999 -999.999 -999.0 21.7114498972618 45.932623850460914 27.9 8.542512707088118 5.1888197222020205 8.842715112501018 24.35 4.52859355683223 2.6208189077158024 32.85 88.80000148120351 9.0 9.0 
ESO342-050 10.312999857202406 31.464 12.329 0.489 1.644608491730097 0.36768000000000006 -99.0 14.7 2804162343.2142644 -0.8651967042839619 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 3 -999.999 -999.999 -999.0 51.64853587360454 51.41871922525276 43.0 7.8434954146527645 6.559290233437567 8.346600883977175 34.93 5.328279252418005 3.227475878117955 103.89 132.4756894403004 5.0 5.0 
ESO345-046 9.600000911822669 26.7 12.989 -99.0 2.042134101812707 -99.0 0.4895733871459953 14.348 2792529751.9881873 -0.15400310297845543 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 3 -999.999 -999.999 -999.0 30.09356893988974 67.93932922779179 38.25 8.794415389823968 4.951276270816668 8.896249920572984 41.93 5.427634353865173 2.9887586357355826 69.68 138.9671047916994 7.0 7.0 
ESO347-008 6.024998472673027 1.0 14.055 -99.0 3.2236737824038246 -99.0 0.41997628784179675 15.022 2105597.1597630624 0.2983768134420366 7777.14195279588 13438.90129443128 31855.173438651924 12.5 0.060601653213099654 -3.632463093593193 -4.843284124790924 0.06223399065433089 0.0 2 -999.999 -999.999 -999.0 29.973529148475382 37.854826037720116 19.05 0.18352520319841037 0.09235691949676388 0.18184263402192133 74.34 0.36041015198894627 0.10909752018035052 24.05 48.138526237654325 9.0 9.0 
ESO347-017 8.178000822639296 8.2 13.963 -99.0 3.497948807437764 -99.0 -99.0 14.198 302414764.77949595 0.30260216824320096 7.470995397542395 12.909880046953258 30.60119714833365 0.0 0.0 0.0 0.0 0.0 0.0 3 -999.999 -999.999 -999.0 64.27234969194376 46.78657508480862 29.6 1.859985531696752 1.1767386614306836 1.8134666197085971 31.37 1.2471044530094777 0.7013918987709983 30.07 33.37893243552335 9.0 9.0 
ESO355-026 9.77299974702266 31.537 13.376 -99.0 2.703053522829427 -99.0 0.5143614044189437 15.714 1107174417.3835967 -0.7287837046981771 1.0 1.0 1.0585681909219185 0.0 0.0 0.0 0.0 0.0 0.0 3 -999.999 -999.999 -999.0 58.6929488030759 37.335438353141555 29.1 5.708422269134488 4.4492604174241865 5.774522683696117 23.3 3.5624662448791597 2.3203428211281603 94.66 110.79186135848393 4.2 4.2 
ESO357-012 9.291000113826843 22.591 13.648 -99.0 3.382089577818316 -99.0 0.5008994827270516 14.289 2110795682.8606198 0.03344608343126154 1.0 1.0 1.057727040878722 27.0 2.95715220711221 3.178938622645626 3.3842964148061956 3.3440421021424394 3.5948452598031233 2 -999.999 -999.999 0.54 53.05030851159939 52.134024862481255 41.2 5.7099350625084915 4.512395219741594 5.789368171694439 63.32 6.935069546457227 4.288089748624342 57.37 71.7875516150804 7.0 7.0 
